@relation kredyty-30-dniowe-weka.filters.unsupervised.attribute.StringToNominal-R1-weka.filters.unsupervised.attribute.StringToNominal-R4-weka.filters.unsupervised.attribute.Remove-R1

@attribute kwoty-kredytu numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute rodzaj-zrodla-dochodu numeric
@attribute miesieczny-dochod-netto numeric
@attribute ktore-rolowanie numeric
@attribute okres-w-jakim-pobieral�-dochod numeric
@attribute okres-w-jakim-bedzie-pobierac�-dochod numeric
@attribute opoznione-splaty numeric

@data
250,58,K,16,1589,0,26,48,0
275.97,41,K,11,1000,3,60,48,14
200,24,M,12,1000,4,11,25,0
600,65,M,13,1217,0,50,48,0
200,51,M,12,1030,0,8,48,3
200,68,K,13,1134.96,0,160,48,0
200,63,K,16,1389,3,90,48,0
300,45,M,12,1375.47,1,6,8,0
500,63,K,13,2051,0,137,48,0
378.91,70,K,13,1291.18,4,78,48,0
500,62,K,13,1691.3,0,72,48,3
350,53,K,17,1031,2,50,48,2015
586.65,57,K,11,1680,4,69,48,2
200,73,M,13,910.33,3,162,48,7
800,57,M,12,2500,2,4,4,0
200,55,K,11,1077,0,182,48,0
238.78,53,K,11,1700,4,204,48,0
200,30,K,11,1373.34,1,57,48,1
662.69,30,M,11,2837,0,125,48,2015
400,54,K,12,1700,4,55,48,0
300,77,K,13,1300,0,192,48,0
300,57,M,11,1800,0,160,48,0
400,66,K,13,850,3,66,48,2
200,25,K,17,1200,4,164,48,0
350,64,M,13,1601.87,0,44,48,6
500,51,K,11,1700,3,305,48,0
300,43,K,11,1400,4,24,48,2
200,66,K,13,910,4,69,48,0
200,53,M,11,2094.17,0,240,48,0
300,50,M,12,1000,1,42,48,1
200,62,K,13,1200.29,1,21,48,0
400,61,K,13,1280,4,16,48,2
300,42,K,11,1286.16,0,116,48,0
200,66,K,13,1216,4,140,48,0
500,56,M,13,1900,4,149,48,5
200,42,M,11,2200,0,42,48,0
500,58,M,16,1770,4,88,48,0
200,71,K,13,722.05,3,196,48,0
200,70,K,16,1235,0,32,48,0
385.97,54,K,11,1721.7,4,119,48,0
400,51,M,11,1800,0,258,48,0
400,44,M,12,1963.88,3,5,6,0
400,36,M,11,3898,0,180,48,0
300,72,M,13,1870,0,84,48,0
300,78,K,13,1239.98,1,254,48,0
200,53,K,12,984.34,3,17,21,4
500,29,K,12,1447,4,21,24,1
300,60,K,13,810,4,32,48,3
400,56,K,11,1730.13,2,192,48,3
322.07,35,K,11,2709.34,4,180,48,0
400,35,K,11,2899.34,0,120,48,0
227.08,60,K,11,1906.42,2,211,48,7
561.15,69,K,13,1072,4,152,48,292
500,59,K,13,1400,0,53,48,385
600,61,K,13,1050,4,138,48,0
600,30,M,11,2700,4,63,48,0
200,27,M,17,728,4,99,48,3
300,22,K,12,1634,2,11,12,3
500,22,M,17,1896,0,33,34,2010
300,23,M,12,1029,0,3,10,2010
200,46,M,11,1566.82,0,348,48,0
800,61,K,13,1820,4,68,48,0
200,70,K,13,907,2,233,48,2
200,26,M,12,1100,1,32,48,9
400,39,K,11,1239.05,1,203,48,6
200,31,K,12,1865,1,19,22,5
400,52,K,98,3000,0,84,48,2
500,35,K,11,2400,3,112,48,4
300,28,K,11,901,3,39,48,387
300,66,M,13,2110,4,100,48,1
400,64,K,13,1015,4,108,48,2008
400,54,K,11,2368.57,2,409,48,0
300,40,K,11,2505,0,163,48,0
200,56,K,17,1100,2,26,34,0
255.49,55,K,16,1072.89,4,121,48,0
200,53,K,99,1100,1,51,48,1
600,59,K,13,1400,0,245,48,1
200,52,K,99,598,0,2,6,0
200,75,K,13,1000,0,210,48,0
200,72,K,13,785,0,63,48,0
400,75,K,13,1900,0,120,48,0
500,37,K,11,2700,4,120,48,0
500,32,K,11,3100,4,120,48,0
500,49,K,11,1800,4,52,48,1
200,47,K,11,1493.98,3,360,48,0
200,51,K,11,932.34,4,394,48,0
600,43,K,11,1443,4,33,48,0
300,26,K,12,1300,3,7,12,2
300,22,K,12,1500,3,3,4,2
492.01,35,K,98,4000,4,19,48,10
400,53,K,16,1362,4,28,48,0
300,58,K,13,1244.77,4,38,48,4
700,58,K,13,1872,4,34,48,2
200,63,K,16,1340,0,160,48,0
300,67,M,13,1573,0,88,48,1
200,47,K,98,2200,4,24,48,0
300,30,M,12,1637,0,51,48,0
395.77,63,K,13,1668,4,90,48,0
201.4,60,K,13,1107,2,14,48,9
200,39,K,12,1048.27,0,2,20,13
300,61,K,13,2282,0,24,48,0
417,27,K,11,1500,0,23,48,133
300,57,K,16,634.64,3,135,48,0
500,24,M,11,2327.94,0,34,48,0
575.74,32,M,11,2050,4,117,48,10
300,46,K,98,911,4,97,48,1
200,61,K,13,992.96,0,11,48,0
300,30,M,11,1000,4,56,48,1
200,70,K,13,865,4,127,48,0
300,54,M,11,2100,1,37,48,2
300,49,K,11,992.84,4,120,48,0
200,57,K,99,780,0,0,3,0
500,60,M,11,2100,3,186,48,0
600,59,K,13,1370,3,75,48,0
371.45,61,M,13,1500,4,22,48,1
200,31,K,12,980,4,9,11,4
600,54,K,11,1300,1,67,48,19
500,36,K,11,1700,3,196,48,69
500,61,K,13,1310,0,77,48,5
200,50,M,16,1045,3,198,48,3
600,33,K,12,1540,1,38,40,5
200,57,K,11,983.97,2,77,48,5
300,46,K,12,1038.68,0,20,26,0
295.24,46,K,12,1032,4,37,41,4
300,44,M,11,3300,0,236,48,0
400,67,K,13,815,1,143,48,0
246.99,52,K,11,1400,4,160,48,0
200,30,M,12,1521,0,19,31,0
400,34,K,11,980.11,1,44,48,6
300,26,M,12,1800,0,54,48,0
500,50,K,17,990,0,71,48,0
400,64,M,11,2600,0,134,48,0
200,55,M,11,1460.17,1,60,48,11
450,68,M,13,2000,4,44,48,12
500,66,M,16,1151,0,360,48,311
400,65,M,16,1473.04,1,164,48,0
500,58,K,13,720,1,231,48,101
200,53,K,16,749.28,4,64,48,0
300,70,M,13,1420,0,52,48,4
895.59,47,M,11,2500,0,203,48,4
300,52,K,11,1400,0,160,48,0
500,62,K,13,962,0,64,48,3
300,71,M,13,1426,4,76,48,0
300,63,K,13,1100,1,104,48,0
200,48,K,11,967.64,3,318,48,0
700,62,K,13,3700,4,26,48,0
300,71,M,13,1772.53,1,279,48,4
300,70,K,13,1016,0,188,48,0
348.19,59,M,11,2947,4,52,48,2001
407.31,68,K,16,980,4,130,48,9
500,61,K,13,1362,4,55,48,14
300,72,K,13,2100,1,159,48,282
500,62,K,13,1900,4,87,48,0
328,60,M,12,1000,4,11,14,0
328.32,50,K,12,1000,4,31,35,0
277.34,39,K,11,1770,4,86,48,2
500,57,K,11,2249.14,0,240,48,155
350,78,M,13,1519,1,254,48,0
500,53,M,11,2080,0,319,48,0
200,49,K,17,1079,0,29,39,0
200,56,K,98,980,3,10,48,0
400,50,K,11,1577.42,1,206,48,23
700,61,K,13,2066,4,130,48,2
800,56,K,13,580,4,120,48,2001
600,51,K,11,3200,4,54,48,0
300,45,M,12,670,4,10,12,0
200,54,K,11,1400,4,117,48,2
200,39,M,11,1300,4,46,48,0
284.19,38,K,98,1200,4,46,48,2
300,46,K,11,900,4,93,48,1
200,58,K,16,634,3,51,48,0
200,74,K,13,1026,4,247,48,1
296,59,K,13,1658,4,29,48,0
200,68,K,13,803.86,4,158,48,1
250,42,K,99,2290.55,1,18,21,0
300,71,M,13,562,0,81,48,1
200,63,M,13,1287.66,3,96,48,0
400,53,K,11,1300,0,34,48,265
300,46,M,11,1360,0,120,48,0
200,65,K,13,670,0,66,48,0
799.85,33,K,11,2050,0,29,48,7
400,60,K,16,1411,1,66,48,2
200,37,K,12,599.03,3,19,22,0
300,63,K,13,1233,3,123,48,0
800,55,K,13,3440,4,51,48,0
200,71,K,13,1185.33,4,224,48,1
659.87,65,M,13,3040,0,202,48,1
400,60,K,13,1500,0,60,48,0
200,31,K,12,1032.34,4,5,11,7
200,60,K,13,1635,4,120,48,1
218.32,61,K,13,975,4,27,48,7
900,33,K,11,2200,0,37,48,0
700,61,K,13,1977,2,55,48,0
315.49,73,M,13,960,4,140,48,6
200,62,M,13,1162,4,222,48,1
700,55,K,16,2300,5,63,48,0
800,35,M,12,1500,1,33,36,10
375.81,29,M,11,1888.27,0,77,48,10
300,63,K,13,917,2,76,48,0
216.24,45,K,11,1344.9,3,46,48,0
400,62,M,16,1313.41,4,28,48,4
200,73,K,13,866.46,1,195,48,0
400,54,K,11,2800,4,60,48,1
495.15,38,M,11,2470,1,66,48,2
600,46,M,11,2000,0,51,48,0
350,61,M,13,1503,0,166,48,12
235.97,65,M,12,1100,4,22,36,5
600,68,K,13,2120,4,119,48,0
500,70,K,13,1200,4,119,48,9
460,65,K,13,1013.74,4,113,48,2
400,58,K,11,1500,3,85,48,3
350,56,K,17,547.89,1,56,48,4
300,66,K,13,1031,0,121,48,0
700,65,K,13,930,5,131,48,3
600,51,M,12,2673.17,4,112,48,3
670,63,K,13,930,1,94,48,3
400,62,K,13,714,5,222,48,0
400,64,K,13,840,2,113,48,0
423.23,31,M,11,2700,4,15,48,2
200,55,K,12,1350,4,22,25,3
300,55,K,12,1009.34,3,29,48,1994
200,65,M,13,1611,2,141,48,0
500,49,K,11,2500,0,233,48,0
600,29,M,12,1300,4,27,42,315
300,54,M,17,798.8,4,149,48,1994
300,70,K,13,1000,1,64,48,0
300,49,M,12,1042,1,5,12,351
300,39,K,12,1027,4,9,48,3
250,45,K,11,3000,4,93,48,3
300,35,K,12,1200,4,9,14,5
400,66,K,13,1137.19,4,96,48,5
300,68,K,13,1027,0,192,48,0
200,65,K,13,802.83,4,201,48,1
400,77,K,13,1239,4,270,48,5
200,67,K,13,720.19,2,93,48,1
500,61,M,11,2250.05,2,176,48,380
400,47,M,12,600,5,9,27,1
300,44,M,11,3300,1,237,48,0
300,75,M,13,1150,0,138,48,16
265.58,62,K,13,1189,4,70,48,1
417.8,47,M,12,1574.45,3,31,36,0
500,53,M,11,1320,4,342,48,1
400,47,K,11,3170,4,285,48,189
357.31,40,M,11,1261.98,4,36,48,5
350,61,M,16,837,3,231,48,0
900,58,K,17,684,4,190,48,0
606.35,52,M,11,3200,4,189,48,0
400,62,K,13,1474.55,3,65,48,1
500,73,K,13,951,4,162,48,5
400,40,K,12,660,4,12,38,5
400,54,K,16,1045.6,5,12,48,1
600,54,K,12,1675,4,9,12,0
200,63,K,16,1600,0,24,48,0
300,33,M,11,1800,4,165,48,0
300,25,M,12,1400,3,12,33,15
400,57,K,13,1817.24,3,18,48,0
200,53,K,16,1740,1,114,48,0
500,72,K,13,640,1,139,48,4
200,75,K,13,965,4,245,48,13
600,39,K,11,1800,0,52,48,12
500,60,K,13,1212,4,54,48,0
367.31,61,K,13,1684,4,21,48,8
407.1,64,M,13,2010,0,138,48,0
327,52,K,11,2065.98,4,179,48,19
500,60,K,13,1000,4,68,48,4
449.33,38,K,11,2927,3,201,48,2
200,23,M,11,1400,0,25,48,0
496.83,31,K,11,1600,4,14,48,48
200,69,K,16,959.6,4,115,48,0
400,61,K,13,1170,3,78,48,0
200,56,K,11,1172.2,4,37,48,2
321.21,65,K,16,892,3,201,48,0
250,54,K,17,864.6,0,2,8,2
300,62,K,13,1130,4,103,48,3
200,46,K,12,990.34,3,56,48,3
286.94,52,K,12,1050,3,34,36,2
300,61,K,13,997,4,79,48,0
200,66,K,13,1428.55,4,137,48,4
693.7,38,K,11,1900,0,208,48,0
300,77,K,13,1300,1,193,48,0
200,72,K,13,730,3,561,48,3
600,65,M,13,1217,1,51,48,0
426.61,49,K,11,2470,5,354,48,2
200,52,K,99,598,1,3,6,3
300,54,M,11,1700,4,39,48,4
400,58,K,16,1589,0,28,48,3
500,57,K,13,1530,0,25,48,0
400,53,M,11,4000,5,10,48,3
200,20,M,17,985,5,13,18,4
500,70,K,13,729.03,5,257,48,0
300,57,K,13,611,3,139,48,1
300,60,M,11,3000,5,212,48,3
600,32,K,11,1290,4,19,48,0
297.69,63,K,13,1014,0,183,48,9
600,47,K,12,830.46,3,45,48,4
300,64,K,16,1132,1,97,48,0
200,75,K,13,616,4,246,48,0
300,21,M,12,952.89,0,23,26,0
300,49,M,13,3900,5,30,48,0
300,65,K,13,1350,3,111,48,0
200,31,M,98,2000,0,14,48,0
500,60,K,13,936,2,31,48,0
388.45,43,M,98,3178,0,201,48,11
371.01,44,M,12,1952.35,4,4,12,0
300,57,K,11,1680,4,385,48,2
600,49,K,11,2800,4,319,48,0
783.61,63,K,13,860,1,80,48,9
800,60,M,11,1000,4,63,48,0
400,56,M,11,1842.86,3,8,48,1
300,65,K,13,1210,0,138,48,2
500,63,K,13,2051,1,138,48,0
200,24,M,12,1000,5,12,25,1
200,74,K,13,1026,5,247,48,1
250,51,K,11,1700,4,306,48,5
600,41,K,98,5000,0,84,48,1
200,55,K,11,1077,1,183,48,0
300,45,M,12,1375.47,2,7,8,0
600,55,M,16,588,1,422,48,8
200,52,K,16,685,0,41,48,0
300,58,K,13,1240,1,70,48,0
400,61,K,13,1090.14,4,75,48,0
300,48,K,11,1077.49,4,372,48,9
200,57,M,13,12220,3,71,48,3
200,68,K,13,1134.96,1,161,48,1
300,42,K,11,1286.16,1,117,48,0
200,63,K,16,1389,4,91,48,0
800,57,M,12,2500,3,5,10,0
378.91,70,K,13,1291.18,5,79,48,0
200,25,K,17,1200,5,165,48,5
400,54,K,12,1700,5,56,48,0
200,53,K,11,1700,5,205,48,2
400,30,M,11,2700,0,64,48,5
500,72,M,13,1700,4,14,48,0
600,47,K,11,1700,4,89,48,6
300,71,M,13,1295.37,0,307,48,0
300,49,M,11,1400,0,14,48,9
300,53,M,11,1300,0,452,48,0
200,30,K,11,1373.34,2,58,48,270
200,57,K,16,703,4,26,48,0
200,66,K,13,910,5,70,48,0
200,26,K,12,1100,1,15,18,4
700,37,M,12,3000,0,8,10,20
200,53,M,11,2094.17,1,241,48,0
300,35,K,11,2899.34,1,121,48,0
200,71,K,13,722.05,4,197,48,0
515.96,58,K,13,1801.41,0,38,48,6
400,72,M,13,1870,0,85,48,0
500,58,M,16,1770,5,89,48,0
200,41,K,11,1037.34,0,62,48,1983
397.31,60,K,13,1149.06,0,161,48,263
400,66,K,13,850,4,67,48,3
200,29,M,99,1393.85,3,5,5,4
300,21,M,12,1500,0,6,8,0
200,66,K,13,1216,5,141,48,75
300,48,K,98,1357,0,1,48,0
300,50,M,12,1000,2,43,48,0
300,78,K,13,1239.98,2,255,48,0
345.97,54,K,11,1721.7,5,120,48,0
500,36,M,11,3898,0,181,48,3
500,62,K,13,1691.3,1,73,48,13
400,59,M,13,3900,0,114,48,2
300,26,M,11,1459,2,9,48,7
200,46,M,11,1566.82,1,349,48,0
314.83,35,K,11,2709.34,5,181,48,3
400,51,M,11,1800,1,259,48,0
298.74,46,M,13,1688.82,3,99,48,1980
200,72,K,13,785,1,64,48,0
600,61,K,13,1050,5,139,48,0
500,44,M,12,1952.35,0,4,12,1
400,48,K,11,980,0,200,48,0
370,40,K,11,1087,0,238,48,234
200,62,K,13,714,0,222,48,0
500,33,M,11,2261,0,51,48,1980
500,35,K,11,1792,0,62,48,1980
400,44,M,12,1963.88,4,6,7,4
290,61,K,13,1280,5,17,48,0
250,38,K,11,800.51,0,20,48,1
300,62,K,13,1525.46,0,36,48,9
300,45,M,11,2100,0,50,48,0
200,63,K,16,1600,1,25,48,0
500,29,K,12,1447,5,22,24,3
300,61,K,13,2282,1,25,48,0
399.72,54,K,11,2368.57,3,410,48,15
200,70,K,13,907,3,234,48,2
200,51,K,11,932.34,5,395,48,0
300,60,K,13,810,5,33,48,1
200,40,K,11,2505,1,164,48,0
200,47,K,11,1493.98,4,361,48,0
400,56,K,11,1730.13,3,193,48,0
400,60,K,13,1425,0,79,48,0
200,73,M,13,910.33,4,163,48,0
300,74,M,13,1180,0,140,48,0
400,35,M,98,1256,0,69,48,0
300,79,K,13,1442.43,0,141,48,0
200,56,K,17,1100,3,27,34,2
400,52,K,98,3000,1,85,48,0
700,37,K,11,3178.76,0,121,48,0
700,32,K,11,3100,0,121,48,0
400,75,K,13,1900,1,121,48,1
600,43,K,11,1443,5,34,48,0
200,30,M,12,1521,1,20,31,0
400,59,K,16,1090,0,77,48,294
500,56,M,13,1900,5,150,48,0
200,27,M,17,728,5,100,48,0
200,53,K,12,984.34,4,18,21,6
300,66,M,13,2110,5,101,48,1
500,49,K,11,1800,5,53,48,0
300,67,M,13,1573,0,89,48,12
200,53,K,99,1100,2,52,48,1
349.66,64,M,13,1601.87,1,45,48,1
300,57,K,16,634.64,4,136,48,4
297.86,22,K,12,1634,3,12,15,12
500,73,M,13,2112,0,98,48,322
800,61,K,13,5100,0,28,48,0
250,57,K,16,2100,0,39,48,4
200,52,M,12,1210,0,7,10,14
300,22,K,12,1500,4,4,5,3
300,26,K,12,1300,4,8,12,4
200,60,K,13,1026,4,55,48,3
700,59,K,13,1400,0,246,48,0
500,74,K,13,1536,0,36,48,4
395.77,63,K,13,1668,5,91,48,1
700,58,K,13,1872,5,35,48,3
500,24,M,11,2327.94,1,35,48,5
200,70,K,13,865,5,128,48,1
500,35,K,11,2400,4,113,48,3
300,49,K,11,992.84,5,121,48,0
200,61,K,13,992.96,1,12,48,0
300,30,M,11,1000,5,57,48,0
300,54,K,12,1000,0,45,48,0
300,46,K,98,911,5,98,48,2
200,31,K,12,1865,2,20,22,11
500,60,M,11,2100,4,187,48,0
200,61,K,13,984,0,11,48,0
200,57,K,99,780,1,1,3,0
500,67,K,13,815,0,144,48,7
400,35,M,11,1058,0,14,48,0
300,58,K,13,1244.77,5,39,48,14
416.61,52,M,11,2011,0,211,48,0
300,46,K,12,1038.68,1,21,26,0
650,78,M,13,1519,0,254,48,0
200,53,K,16,749.28,5,65,48,3
399.66,39,K,11,1239.05,2,204,48,8
347.63,61,M,13,1500,5,23,48,7
479.15,61,M,11,1250,0,65,48,4
292.57,54,M,11,2100,2,38,48,2
300,79,K,13,1167.94,0,369,48,1
275.97,41,K,11,1000,0,61,48,4
500,50,K,17,990,1,72,48,2
200,39,M,11,1300,5,45,48,0
500,53,M,11,2080,1,318,48,2
200,50,M,16,1045,4,200,48,0
400,65,M,16,1473.04,2,166,48,1
300,71,M,13,1426,5,78,48,0
200,56,K,98,980,4,10,48,0
299.28,52,K,11,1400,1,162,48,0
300,45,M,12,670,5,10,12,0
300,46,M,11,1360,1,120,48,0
200,26,M,12,1100,0,34,48,0
200,31,K,12,980,5,11,15,1
300,63,K,13,1100,2,106,48,0
200,48,K,11,967.64,4,320,48,302
300,48,M,11,1600,0,343,48,10
400,50,K,12,1000,5,33,35,2
400,60,M,12,1000,5,13,14,2
582,62,K,13,3700,5,27,48,0
600,51,K,11,3200,5,54,48,6
300,66,K,13,1031,1,122,48,0
700,61,K,13,2066,5,130,48,3
500,61,K,13,1310,1,79,48,0
200,63,M,13,1287.66,4,97,48,0
286.39,59,K,13,1658,5,30,48,3
200,58,K,16,634,4,53,48,0
600,33,K,11,1540,2,40,48,4
200,54,K,11,1400,5,118,48,1
200,63,K,13,1233,4,124,48,0
200,57,K,11,983.97,3,79,48,10
250,42,K,99,2290.55,2,19,21,0
286.13,46,K,12,1032,5,39,41,0
200,73,K,13,866.46,2,196,48,4
200,37,K,12,599.03,4,20,22,8
700,61,K,13,1977,3,56,48,18
200,65,K,13,670,1,67,48,7
200,68,K,13,803.86,5,159,48,0
300,71,M,13,562,1,82,48,5
200,74,K,13,1026,5,248,48,0
300,46,K,11,900,5,94,48,2
800,55,K,13,3440,5,52,48,2
300,50,M,16,2150,0,82,48,0
400,60,K,13,1500,1,61,48,0
200,58,K,13,1083.23,0,98,48,3
300,77,K,13,1300,2,194,48,0
500,62,K,13,962,1,66,48,12
300,55,K,11,2800,0,10,48,0
465.37,35,K,98,4000,5,20,48,9
500,35,M,11,1850,0,56,48,3
600,55,K,16,2300,6,64,48,0
600,27,K,11,2100,0,24,48,0
300,70,M,13,1420,1,54,48,0
200,45,K,11,1344.9,4,47,48,2
200.56,60,K,13,1107,0,16,48,0
300,71,M,13,1772.53,2,281,48,2
400,34,K,11,980.11,2,46,48,8
622.85,65,M,13,3040,1,203,48,0
300,70,K,16,1235,0,34,48,0
300,62,M,15,1100.79,0,91,48,0
200,62,M,13,1162,5,223,48,0
200,60,K,13,1635,5,121,48,0
300,63,K,13,917,3,77,48,4
300,68,K,13,1019,0,134,48,0
400,60,K,16,1411,2,67,48,1
284.19,38,K,98,1200,5,47,48,0
300,29,M,12,1800,0,5,6,0
300,54,K,16,1500,0,3,48,0
800,68,K,13,2120,0,120,48,0
300,43,K,11,1738.57,0,58,48,3
300,51,M,12,1030,0,10,48,1966
300,54,K,11,2800,5,61,48,0
530,32,M,11,2050,0,119,48,7
300,70,K,13,1000,2,65,48,0
200,43,M,11,2284.23,0,301,48,0
400,58,M,13,2031,0,159,48,1964
200,72,M,13,1700,0,15,48,7
400,51,M,98,4293,0,179,48,0
200,53,K,11,3641,0,144,48,0
399.72,62,K,13,714,6,223,48,0
250,75,K,13,1000,0,212,48,0
460,65,K,13,1013.74,5,114,48,1
400,64,K,13,840,3,114,48,2
800,57,K,13,1530,0,26,48,0
495.15,38,M,11,2470,2,67,48,5
500,49,K,11,2500,1,234,48,0
200,39,K,12,1048.27,0,4,20,4
200,62,M,16,1313.41,5,29,48,229
350,61,M,16,837,4,232,48,0
400,58,K,11,1500,4,86,48,0
300,44,M,11,3300,2,238,48,0
315.49,73,M,13,960,5,141,48,0
423.23,31,M,11,2700,5,16,48,7
365.96,47,M,12,1574.45,4,32,36,6
350,56,K,17,547.89,2,57,48,1962
300,68,K,13,1027,1,193,48,0
799.85,33,K,11,2050,1,30,48,1962
400,57,K,13,1817.24,4,19,48,3
407.31,68,K,16,980,5,132,48,0
593.94,52,M,11,3200,5,190,48,0
300,33,K,11,2200,0,12,48,0
550,54,K,12,1675,5,10,12,3
300,63,K,16,1389,0,92,48,0
900,58,K,17,684,5,191,48,0
200,55,M,11,1460.17,2,62,48,1
670,63,K,13,930,2,95,48,0
235.97,65,M,12,1100,5,23,36,0
450,70,K,13,729.03,6,258,48,0
700,65,K,13,930,6,132,48,0
200,61,K,13,975,5,28,48,0
399.72,47,M,12,600,6,10,27,0
500,53,M,11,1320,5,343,48,0
389.72,61,K,13,1170,4,79,48,0
200,31,K,12,1032.34,5,6,11,11
200,69,K,16,959.6,5,116,48,5
200,67,K,13,720.19,3,94,48,0
500,60,K,13,1212,5,55,48,0
200,53,K,16,1740,2,115,48,0
693.7,38,K,11,1900,1,209,48,3
400,62,K,13,1474.55,4,66,48,6
400,53,K,13,1213,0,51,48,2
339.72,54,K,16,1045.6,6,13,48,0
300,33,M,11,1800,5,166,48,2
300,39,K,12,1027,5,10,48,0
400,59,M,11,2000,0,71,48,0
200,61,K,13,997,5,80,48,0
200,55,K,12,1350,5,23,25,2
265.58,62,K,13,1189,5,71,48,0
563.44,68,M,13,2000,0,46,48,10
500,61,K,13,1362,5,57,48,1
800,35,M,12,1500,2,34,36,1
500,44,K,11,2105,0,24,48,1957
300,64,K,16,1132,2,98,48,13
300,71,M,13,1295.37,1,308,48,0
300,60,K,13,936,3,32,48,0
375.81,29,M,11,1888.27,0,78,48,3
600,32,K,11,1290,5,20,48,5
426.61,49,K,11,2470,6,355,48,0
200,75,K,13,616,5,247,48,3
600,49,K,11,2800,5,320,48,1
500,72,K,13,640,2,140,48,0
400,66,K,13,1137.19,5,97,48,0
200,56,K,11,1172.2,5,38,48,0
500,73,K,13,951,5,163,48,15
500,42,M,98,3014,0,103,48,6
300,49,M,13,3900,6,31,48,0
450,69,K,13,1800,0,118,48,0
250,54,K,17,864.6,1,3,8,0
300,35,K,12,1200,5,11,14,0
441.27,40,K,12,660,5,13,38,6
283.31,52,K,12,1050,4,35,36,0
400,51,M,11,1400,0,40,48,9
250,65,M,13,1559,0,72,48,0
300,21,M,12,952.89,1,24,26,8
357.31,40,M,11,1261.98,5,37,48,1
500,70,K,13,1200,5,120,48,6
412.88,38,K,11,2927,4,202,48,5
242.28,65,K,13,1350,4,112,48,1
300,57,K,13,611,4,140,48,1
200,72,K,13,730,4,562,48,0
200,74,K,13,1026,6,248,48,0
400,53,M,11,4000,6,11,48,0
300,62,K,13,1130,5,104,48,0
400,58,K,16,1589,1,28,48,15
600,54,K,11,1300,0,69,48,6
600,43,K,11,1443,0,35,48,1
400,56,M,11,1842.86,4,9,48,0
500,48,K,98,1357,0,2,48,0
200,24,M,12,1000,6,13,25,0
600,46,M,11,2000,0,52,48,0
400,61,K,13,1090.14,5,76,48,4
500,33,M,12,5000,0,6,27,1955
300,57,K,11,1680,5,386,48,6
300,54,M,11,1700,5,40,48,1955
300,50,M,12,1000,3,44,48,0
305,65,K,13,1210,1,139,48,1955
400,29,M,11,1590,0,54,48,4
300,58,K,13,1240,2,71,48,6
800,57,M,12,2500,4,6,10,3
500,72,M,13,1700,5,15,48,0
300,42,K,11,1286.16,2,118,48,0
500,60,K,13,1000,5,69,48,0
378.91,70,K,13,1291.18,6,80,48,12
400,54,K,12,1700,6,57,48,0
350,73,K,11,1348.95,0,116,48,6
200,20,M,17,985,6,14,18,0
200,52,K,16,685,1,42,48,0
600,41,K,98,5000,1,85,48,6
200,68,K,13,1134.96,2,162,48,13
300,78,K,13,1239.98,3,256,48,0
200,43,K,11,1400,0,26,48,0
500,47,M,13,864.34,0,157,48,0
350,61,M,13,1503,0,167,48,18
300,60,M,11,3000,6,213,48,0
400,51,M,11,1800,2,260,48,3
600,45,M,12,3500,0,188,48,0
200,66,K,13,910,6,71,48,0
200,71,K,13,722.05,5,198,48,0
400,72,M,13,1870,1,86,48,1
500,44,K,11,2245.01,0,147,48,4
300,61,K,13,2282,2,26,48,0
500,58,M,16,1770,6,90,48,1
367.31,61,K,13,1684,5,21,48,21
700,47,K,12,830.46,4,46,48,1
200,53,M,11,2094.17,2,242,48,4
600,61,K,13,1050,6,140,48,0
400,48,K,11,980,1,201,48,0
200,57,M,13,12220,4,72,48,8
345.97,54,K,11,1721.7,6,121,48,2
250,51,K,11,1700,5,307,48,2
200,63,K,16,1600,2,26,48,323
200,72,K,13,785,2,65,48,0
500,62,K,13,820,0,32,48,0
300,79,K,13,1442.43,1,142,48,0
200,65,M,13,1611,0,142,48,1
290,61,K,13,1280,6,18,48,1
300,45,M,11,2100,1,51,48,2
400,66,K,13,850,5,68,48,2
400,59,M,13,3900,1,115,48,1
200,25,K,17,1200,6,166,48,0
490,30,M,11,2700,1,65,48,1
700,57,M,13,3600,0,87,48,0
200,26,K,12,1100,2,16,18,0
200,27,M,12,1400,0,2,2,0
500,47,M,13,1500,0,87,48,0
500,58,K,13,1883.53,0,48,48,0
500,44,M,12,1952.35,1,5,12,5
200,29,M,99,1393.85,4,6,6,1949
314.83,35,K,11,2709.34,6,182,48,0
600,39,K,11,1800,1,53,48,18
500,36,M,11,3898,1,182,48,6
200,75,K,13,965,5,246,48,0
438.67,50,K,11,1577.42,0,206,48,13
400,60,K,13,1800,0,70,48,0
500,45,K,11,3000,0,94,48,0
200,46,K,12,990.34,0,57,48,12
200,51,K,11,932.34,6,396,48,214
300,46,M,11,1566.82,0,350,48,13
200,47,K,11,1493.98,5,362,48,181
200,30,M,12,1521,2,21,31,6
200,62,M,13,1672.59,0,23,48,13
300,53,M,11,1300,0,453,48,0
500,35,M,98,1256,0,70,48,291
400,56,K,11,1730.13,4,194,48,18
500,56,M,13,1900,6,151,48,4
700,37,K,11,3178.76,1,122,48,4
700,32,K,11,3100,1,122,48,4
600,47,K,11,1700,5,90,48,0
300,63,K,13,1014,0,184,48,0
780,63,K,13,860,0,81,48,6
389.72,52,K,98,3000,2,86,48,0
500,29,K,12,1447,6,23,24,5
200,27,M,17,728,6,101,48,3
515.96,58,K,13,1801.41,1,39,48,3
